country,population,article_name,revision_id,prediction
Algeria,42.7,Azzedine Mihoubi,784420611,Start
Algeria,42.7,Nouara Saadia,785156476,Stub
Algeria,42.7,Abane Ramdane,785742807,Stub
Algeria,42.7,Saïd Sadi,787911144,Start
Algeria,42.7,Fatiha Serour,787988818,Stub
Algeria,42.7,Leila Zerrougui,788010268,Start
Algeria,42.7,Mourad Benmehidi,788018992,Start
Algeria,42.7,Said Boualam,788254131,Start
Algeria,42.7,Kasdi Merbah,788299558,Start
Algeria,42.7,Ferhat Mehenni,788458570,Start
Algeria,42.7,Amar Ghoul,788748788,Stub
Algeria,42.7,Mohamed Khider,788827246,Start
Algeria,42.7,Jacques Chevallier,791039747,Start
Algeria,42.7,List of mayors of Oran,791295370,Start
Algeria,42.7,List of mayors of Algiers,791312936,Stub
Algeria,42.7,Mohamed Belouizdad,791704982,Stub
Algeria,42.7,Krim Belkacem,793167978,Start
Algeria,42.7,Zohra Drif,793588934,Start
Algeria,42.7,Abdallah Djaballah,793718332,Stub
Algeria,42.7,Benyoucef Benkhedda,794381535,B
Algeria,42.7,Benaouda Hadj Hacène Bachterzi,794404263,Stub
Algeria,42.7,Bouguerra Soltani,794692299,Stub
Algeria,42.7,Ibrahim Bey,795485624,Start
Algeria,42.7,"List of beys of Constantine, Algeria",795485627,Start
Algeria,42.7,Houda-Imane Faraoun,796300546,Start
Algeria,42.7,List of Ottoman governors of Algiers,796315940,Start
Algeria,42.7,Said Djinnit,796386574,Start
Algeria,42.7,Ramtane Lamamra,796388361,Start
Algeria,42.7,Mohamed Khemisti,796407786,Stub
Algeria,42.7,Boudina Mostefa,796600973,Stub
Algeria,42.7,Chara Bachir,796608168,Stub
Algeria,42.7,Draoui Mohamed,796627766,Stub
Algeria,42.7,Kara Baya,796666436,Stub
Algeria,42.7,Mokdad Sifi,796669862,Stub
Algeria,42.7,Abderrahmane Benkhalfa,796929637,Stub
Algeria,42.7,Ali Kafi,796945473,Start
Algeria,42.7,Abdeslam Bouchouareb,797037799,Stub
Algeria,42.7,Lakhdar Brahimi,797172347,C
Algeria,42.7,Mohammed Saleh Bendjelloul,797399413,Stub
Algeria,42.7,Chadli Bendjedid,797986413,C
Algeria,42.7,Zuhur Wanasi,798667851,Start
Algeria,42.7,President of Algeria,799290487,C
Algeria,42.7,Ahmed Ouyahia,799959233,GA
Algeria,42.7,Abdelmalek Sellal,799959652,Start
Algeria,42.7,Farida Haddouche,800042876,Stub
Algeria,42.7,Ali Haroun,800725058,Stub
Algeria,42.7,Lakhdar Ben Tobbal,800725950,Start
Algeria,42.7,Abdelhamid Brahimi,800726457,Stub
Algeria,42.7,Abdelaziz Bouteflika,801180489,C
Algeria,42.7,Louisa Hanoune,801466524,C
Algeria,42.7,Abdelmadjid Tebboune,801607196,Start
Algeria,42.7,Hayreddin Barbarossa,802441492,C
Algeria,42.7,Ahmed Bey ben Mohamed Chérif,802519267,Start
Algeria,42.7,Liamine Zéroual,802574873,Start
Algeria,42.7,Emir Abdelkader,803016375,B
Algeria,42.7,Hocine Aït Ahmed,803291657,Start
Algeria,42.7,Ahmed Ben Bella,803965612,C
Algeria,42.7,Lalla Fatma N'Soumer,804073508,Start
Algeria,42.7,Mahfoud Nahnah,804142444,Start
Algeria,42.7,Amar Abba,804372706,Stub
Algeria,42.7,Redha Malek,804696553,Start
Algeria,42.7,Sid Ahmed Ghozali,804905610,Stub
Algeria,42.7,Mohamed Seghir Boushaki,805107344,GA
Algeria,42.7,Abdelmalek Benhabyles,805427697,Stub
Algeria,42.7,Nouria Benghabrit-Remaoun,805484867,Stub
Algeria,42.7,Mohamed Deriche,805618028,C
Algeria,42.7,Cheikh Mokrani,806013558,Start
Algeria,42.7,Ferhat Abbas,806762937,C
Algeria,42.7,Houari Boumédiène,806763023,C
Algeria,42.7,Maurice Laban,807321345,Stub
Egypt,97.0,List of Grand Viziers of Egypt,442937236,Stub
Egypt,97.0,Template:Egypt-politician-stub,561071682,Stub
Egypt,97.0,Neferkheperu-her-sekheper,657176628,Start
Egypt,97.0,Qandil Cabinet,687093229,C
Egypt,97.0,Mohamed Kamel Leilah,700864508,Stub
Egypt,97.0,Khaled Dawoud,701871912,Stub
Egypt,97.0,Ihab el-Sherif,705264062,Start
Egypt,97.0,Ali El-Sayed Ali Al-Moselhi,710831684,Stub
Egypt,97.0,Ismail El-Gawsaqi,712237399,Stub
Egypt,97.0,Ali Maher (diplomat),712566011,Stub
Egypt,97.0,Umar al-Tilmisani,714741437,Start
Egypt,97.0,Mustafa Mashhur,714806189,Stub
Egypt,97.0,Yousry Saber Hussein El-Gamal,715206646,Stub
Egypt,97.0,Hany Mahfouz Helal,715947683,Stub
Egypt,97.0,Mohammed Habib,716599243,Stub
Egypt,97.0,Mamdouh Hosny Khalil,717534881,Stub
Egypt,97.0,Mohamed Abdul Salam Mahgoub,719039652,Stub
Egypt,97.0,Samir El-Sayiad,719704569,Stub
Egypt,97.0,Maged George Elias Ghattas,719742040,Start
Egypt,97.0,Stephan Bassily,720605479,Start
Egypt,97.0,Mohamed Youssef Ibrahim,720939610,Start
Egypt,97.0,Mahmoud al-Saqa,721188244,Stub
Egypt,97.0,Mohammed Murad Ghaleb,721302683,Stub
Egypt,97.0,George Messiha,722226891,Stub
Egypt,97.0,Yasser Ali,722340898,Stub
Egypt,97.0,Mohamed Mahsoub,722586870,Start
Egypt,97.0,Sayed Meshaal,723347465,Stub
Egypt,97.0,Nabil Na'eem,723487099,Start
Egypt,97.0,Ali Ibrahim Pasha,723820329,Stub
Egypt,97.0,Sherif Sabri Pasha,726072363,Stub
Egypt,97.0,Ali Pasha Mubarak,728507832,B
Egypt,97.0,Mohammed Ragab Ahmad,734122106,Stub
Egypt,97.0,List of governors of Islamic Egypt,735405745,B
Egypt,97.0,Sufi Abu Taleb,735739446,C
Egypt,97.0,Abdel Ahad Gamal El Din,737848237,Stub
Egypt,97.0,Mohamed M. Abou El Enein,738586711,C
Egypt,97.0,Diaa al-Din Dawoud,741240565,C
Egypt,97.0,Abbas Halim,743531941,Start
Egypt,97.0,Abdel Wahab el-Beshry,744730085,Stub
Egypt,97.0,Joseph de Picciotto Bey,745489352,Stub
Egypt,97.0,Mohamed Sedki Sulayman,745711737,Stub
Egypt,97.0,Abdel Fattah Yahya Pasha,745837038,Stub
Egypt,97.0,Mahmoud Karem,745915558,RevisionNotFound
Egypt,97.0,Talaat Sadat,746372924,Start
Egypt,97.0,Muttalib ibn Abdallah ibn Malik,747063138,Stub
Egypt,97.0,Muhammad Ali Alluba,747594950,Stub
Egypt,97.0,Galal Saeed,750721973,Stub
Egypt,97.0,Numan Gumaa,750722991,Stub
Egypt,97.0,Yehia El-Gamal,751177057,Start
Egypt,97.0,Ahmad Fathy Zaghlul,751451387,Start
Egypt,97.0,Muhammad Hassanein,751568055,Stub
Egypt,97.0,Template:Presidents of Egypt,752154648,Stub
Egypt,97.0,Hossam Badrawi,755398667,C
Egypt,97.0,Emad Abdel Ghaffour,756307494,Stub
Egypt,97.0,Farkhonda Hassan,757292312,Start
Egypt,97.0,Hussein el-Shafei,761525136,Start
Egypt,97.0,Mohamed Abu Samra,762300867,Stub
Egypt,97.0,Salah Dessouki,762369795,Start
Egypt,97.0,Mokhtar Khattab,764016726,Stub
Egypt,97.0,Rifaat el-Mahgoub,765023750,Start
Egypt,97.0,Mohamed Mahmoud Pasha,765119973,Stub
Egypt,97.0,Mohammed Hassan El-Zayyat,765965988,Stub
Egypt,97.0,Hassan Tuhami,767190897,Start
Egypt,97.0,Galal al-Morra,767649266,Stub
Egypt,97.0,Lists of rulers of Egypt,770980198,Stub
Egypt,97.0,Heshmat Fahmi,773331743,Stub
Egypt,97.0,Mustafa El-Rifai,773751017,Start
Egypt,97.0,Khaled Negm,774023957,TextDeleted
Egypt,97.0,Abdel Hakim Amer,774467673,C
Egypt,97.0,Ibrahim Munir Mustafa,774472166,C
Egypt,97.0,Mohamed Sherif Pasha,777595254,Start
Egypt,97.0,Aly Maher Pasha,777702366,Stub
Egypt,97.0,Atef Sedky,777704347,Start
Egypt,97.0,Amani Asfour,779428183,Start
Egypt,97.0,Aisha Rateb,779819055,C
Egypt,97.0,Hassan al-Hudaybi,780427389,C
Egypt,97.0,Abdelfattah al-Banna,780493806,Stub
Egypt,97.0,Ahmed Naguib el-Hilaly,782105531,Start
Egypt,97.0,Mahmoud Abo El-Nasr,782988569,Start
Egypt,97.0,Mohamed Fawzi (general),783760275,C
Egypt,97.0,Mahmoud Abdel Rahman Fahmy,784503020,Start
Egypt,97.0,Hafez Abu Seada,785327208,Start
Egypt,97.0,Mohamed Ismail,786115968,C
Egypt,97.0,Hassan Ibrahim,786745161,Start
Egypt,97.0,Ma'mun al-Hudaybi,786991557,Stub
Egypt,97.0,Abdel Latif Boghdadi (politician),787386105,B
Egypt,97.0,Abdel Moneim Amin,787386310,Stub
Egypt,97.0,Abu Al-Izz Al-Hariri,787460680,Stub
Egypt,97.0,Ahmed El-Leithy,787913632,Stub
Egypt,97.0,Ahmed Zaki Badreldin,787919367,Stub
Egypt,97.0,Ahmed El Maghrabi,788271050,Start
Egypt,97.0,Mahmoud Mekki,788461897,C
Egypt,97.0,Mansour Hassan,788463189,Start
Egypt,97.0,Sherif Kamal Shahine,788538311,Stub
Egypt,97.0,Tarek al-Zumar,788556635,Stub
Egypt,97.0,Adel Abdel-Hamid,788963873,Stub
Egypt,97.0,Hussein Serry Pasha,789081956,Stub
Egypt,97.0,Ibrahim Abdel Hady Pasha,789082303,Stub
Egypt,97.0,Mamdouh Salem,789082718,Stub
Egypt,97.0,Rawya Ateya,790526524,C
Egypt,97.0,Mustafa Khalil,791507333,Start
Egypt,97.0,Suzanne Mubarak,792037116,GA
Egypt,97.0,Ahmed Zeiwar Pasha,792780958,Stub
Egypt,97.0,Sameh Shoukry,793707954,Start
Egypt,97.0,List of heads of state of Egypt,793838540,Start
Egypt,97.0,Ziad Bahaa-Eldin,793963147,Start
Egypt,97.0,Shadi Taha,794712699,Start
Egypt,97.0,Inji Aflatoun,795000966,C
Egypt,97.0,Omar Sharaf,795726468,FA
Egypt,97.0,List of Presidents of Egypt by time in office,795799070,Start
Egypt,97.0,Adel Labib,795958655,Stub
Egypt,97.0,Ibrahim Mahlab,796090115,Start
Egypt,97.0,Gameela Ismail,796116453,C
Egypt,97.0,Shawar of Egypt,796215075,C
Egypt,97.0,Ahmed Gamal El Din,796606969,C
Egypt,97.0,Abdel Moneim El Shahat,796929618,Stub
Egypt,97.0,Aly Lotfy Mahmoud,796954945,Stub
Egypt,97.0,Ahmad Fuad Mohieddin,796973935,Stub
Egypt,97.0,Bassem Ouda,797040401,Start
Egypt,97.0,First Lady of Egypt,797479352,Stub
Egypt,97.0,Mohamed Said Pasha,797632929,Stub
Egypt,97.0,Hazem Salah Abu Ismail,797822421,Start
Egypt,97.0,Mustafa Mansour,797939054,Start
Egypt,97.0,Kamal el-Din Hussein,798490704,Start
Egypt,97.0,Mohamed Mansour (businessman),799022387,Start
Egypt,97.0,Mohamed Soudan,799022586,C
Egypt,97.0,Nabil Elaraby,799071966,C
Egypt,97.0,Youssef Zulficar Pasha,799236302,C
Egypt,97.0,Nasser al-Hafi,799976520,Stub
Egypt,97.0,Mostafa Alnagar,800203594,C
Egypt,97.0,Maged A. Abdelaziz,800291943,Stub
Egypt,97.0,Safiya Zaghloul,800578412,Start
Egypt,97.0,Mahmoud El Nokrashy Pasha,800640676,C
Egypt,97.0,Adly Mansour,800657898,C
Egypt,97.0,Nawal El Saadawi,800663044,C
Egypt,97.0,Mahmoud Fawzi,800754887,Start
Egypt,97.0,Fouad Serageddin,800800878,Start
Egypt,97.0,Muhammad Husayn Haykal,800959966,Start
Egypt,97.0,Al-Fa'iz bi-Nasr Allah,800967250,Stub
Egypt,97.0,Abdel Khalek Sarwat Pasha,801235112,Stub
Egypt,97.0,Adly Yakan Pasha,801235162,Stub
Egypt,97.0,Hussein Roshdy Pasha,801235222,Stub
Egypt,97.0,Fakhri 'Abd al-Nur,801629851,Stub
Egypt,97.0,Makram Ebeid,801631053,Start
Egypt,97.0,Eva Habil,801632430,Stub
Egypt,97.0,Georgette Kellini,801633022,Stub
Egypt,97.0,Laila Takla,801634105,Start
Egypt,97.0,Moheb Stino,801634338,Stub
Egypt,97.0,Mounir Fakhry Abdel Nour,801635822,Start
Egypt,97.0,Mohammad Farid,801724087,Start
Egypt,97.0,Ahmad Mazlum,801731274,Start
Egypt,97.0,Jehan Sadat,801883534,Start
Egypt,97.0,Muhammad Hamid Abu al-Nasr,801983965,Stub
Egypt,97.0,Moataz Abdel-Fattah,802090659,Start
Egypt,97.0,Wahid Abdel Meguid,802090661,Start
Egypt,97.0,Bahaa El-Din Abu Shoka,802090665,Start
Egypt,97.0,Mohammad Salim Al-Awa,802090668,Stub
Egypt,97.0,Khaled Azhari,802090671,Start
Egypt,97.0,El-Sayyid el-Badawi,802090674,Stub
Egypt,97.0,Mohamed Beltagy,802090676,Start
Egypt,97.0,Mohammed Ali Beshr,802090680,C
Egypt,97.0,Essam el-Erian,802090683,Start
Egypt,97.0,Farouk Gouida,802090686,Stub
Egypt,97.0,Saad El-Katatni,802090692,C
Egypt,97.0,Abou Elela Mady,802090695,Stub
Egypt,97.0,Younes Makhioun,802090700,Start
Egypt,97.0,Mohamed El-Sawy,802090709,Stub
Egypt,97.0,Manar El-Shorbagy,802090711,Stub
Egypt,97.0,Osama Yassin,802090719,Start
Egypt,97.0,Mamdouh Shahin,802090766,Stub
Egypt,97.0,Timeline of the Egyptian Crisis under Mohamed Morsi,802091005,B
Egypt,97.0,Mohamed Abou El-Ghar,802091021,Stub
Egypt,97.0,Zakaria Azmi,802091037,Start
Egypt,97.0,Maher El-Beheiry,802091062,Stub
Egypt,97.0,Mansour el-Essawy,802091102,C
Egypt,97.0,Rafik Habib,802091126,Start
Egypt,97.0,Amr Hamzawy,802091130,C
Egypt,97.0,Bothaina Kamel,802091158,Start
Egypt,97.0,Haitham Mohamedain,802091196,Start
Egypt,97.0,Sameh Naguib,802091230,Start
Egypt,97.0,Ayman Nour,802091238,C
Egypt,97.0,Samir Radwan,802091248,Start
Egypt,97.0,Hala Shukrallah,802091322,Stub
Egypt,97.0,Subhi Saleh,802091327,Stub
Egypt,97.0,Omar Suleiman,802091334,B
Egypt,97.0,Farouk Sultan,802091337,Stub
Egypt,97.0,Mahmoud Wagdy,802091340,Stub
Egypt,97.0,Mohammed Mahdi Akef,802205975,C
Egypt,97.0,Mahmoud Samy El Baroudy,802441493,Stub
Egypt,97.0,Yasser Shamsaldin Mohamad,802496070,C
Egypt,97.0,Nur al-Din Kahala,802670925,Stub
Egypt,97.0,Ahmed Shafik,802672219,C
Egypt,97.0,Akhnoukh Fanous,802718005,Start
Egypt,97.0,Yousef Wali,803119591,Start
Egypt,97.0,Zakaria Mohieddin,803225667,C
Egypt,97.0,Ahmad Mahir Pasha,803476894,Stub
Egypt,97.0,Ahmed El-Zend,803517166,Stub
Egypt,97.0,2013 Egyptian coup d'état,803566873,B
Egypt,97.0,Ahmed Gamal El Segini,803826668,Start
Egypt,97.0,Ester Fanous,803910324,Start
Egypt,97.0,President of Egypt,804069247,C
Egypt,97.0,Anwar Sadat,804113674,FA
Egypt,97.0,Ali Sabri,804347277,Start
Egypt,97.0,Hamdeen Sabahi,804394080,C
Egypt,97.0,Abdel Hamid al-Sarraj,804431358,B
Egypt,97.0,Bahey El Din Barakat Pasha,804446108,Start
Egypt,97.0,Abdel Moneim Aboul Fotouh,804452679,Start
Egypt,97.0,Khaled Ali,804452902,FA
Egypt,97.0,Ashraf El-Shihy,804502345,C
Egypt,97.0,Moushira Khattab,804677238,C
Egypt,97.0,Gawdat al-Malt,804928298,Stub
Egypt,97.0,Osama El-Baz,804930404,Start
Egypt,97.0,Hosni Mubarak,805037992,FA
Egypt,97.0,Doria Shafik,805186352,C
Egypt,97.0,George Isaac (politician),805199785,Start
Egypt,97.0,Muhammad Ibrahim Kamel,805359485,Stub
Egypt,97.0,Mohammed Badie,805749818,C
Egypt,97.0,Mohamed Tawfik Naseem Pasha,805782037,Stub
Egypt,97.0,Hassan al-Banna,805797802,C
Egypt,97.0,Gamal Abdel Nasser,805918753,FA
Egypt,97.0,Amin Iskander,805930229,Start
Egypt,97.0,Sayyid Qutb,805952910,B
Egypt,97.0,Mohamed Morsi,806365281,B
Egypt,97.0,Mohammed Naguib,806372496,C
Egypt,97.0,List of Presidents of Egypt,806372528,C
Egypt,97.0,Vice-President of Egypt,806377438,C
Egypt,97.0,Mahmoud Abouelleil,806425332,Start
Egypt,97.0,Boutros Ghali,806544076,C
Egypt,97.0,Abdel Fattah el-Sisi,806779104,FA
Egypt,97.0,Naglaa Mahmoud,806807487,Stub
Egypt,97.0,Abbud Pasha,807107456,Start
Egypt,97.0,Mohamed Hussein Tantawi,807163792,GA
Egypt,97.0,Amr Moussa,807186627,C
Egypt,97.0,Anas el-Fiqqi,807229980,Stub
Egypt,97.0,Hillel Schwartz,807322896,Stub
Egypt,97.0,Amr Ali (youth leader),807407242,Stub
Egypt,97.0,Mohammed Adel (youth leader),807407556,C
Egypt,97.0,Ahmed Maher (youth leader),807407729,C
Egypt,97.0,Saba Habachy,807450050,Start
Libya,6.5,Template:Libya-politician-stub,561074815,Stub
Libya,6.5,Bashir Saadawi,691346630,Stub
Libya,6.5,Ragab Muftah Abudabus,706348474,Stub
Libya,6.5,Muhammad Ahmad al-Mangoush,709720053,Stub
Libya,6.5,Abdul Majid al-Qa′ud,709720196,Stub
Libya,6.5,Abdul Qadir al-Badri,709766577,Stub
Libya,6.5,Muhammad Sakizli,709875829,Start
Libya,6.5,Salih Rajab al-Mismari,712510932,Stub
Libya,6.5,Miftah Muhammed K'eba,713800595,Stub
Libya,6.5,Mohamed Abulas’ad El-Alem,719653188,Stub
Libya,6.5,Mohamed Al-Muntasir,720477132,Stub
Libya,6.5,Omar Shegewi,723570860,Stub
Libya,6.5,Ali Sahli,726965047,Start
Libya,6.5,Abdulla Edriss Ebrahim,735370690,Stub
Libya,6.5,Amal Nuri Safar,738118171,Stub
Libya,6.5,Abdul Razzaq as-Sawsa,738482818,Stub
Libya,6.5,Bashir al-Rabiti,744272507,Start
Libya,6.5,Mifta al-Usta Umar,747056652,Stub
Libya,6.5,Mohammed Ali Salim,747192414,Stub
Libya,6.5,Abu Oweis,749354367,Stub
Libya,6.5,Hisham Ben Ghalbon,754815454,C
Libya,6.5,Huda Ben Amer,755305575,Start
Libya,6.5,Khaled Kaim,755320166,Stub
Libya,6.5,Salwa El-Deghali,757616983,Start
Libya,6.5,Taha El Sherif Ben Amer,761069990,Stub
Libya,6.5,Fawzi Abdel A'al,761170393,Stub
Libya,6.5,Al-Aref al-Khoga,761170861,Stub
Libya,6.5,Mansour Dhao,767690287,Stub
Libya,6.5,Mahmud al-Muntasir,768045201,Start
Libya,6.5,Hussein Maziq,768045226,C
Libya,6.5,Ibrahim Jadhran,770108339,Start
Libya,6.5,Hussein Sadiq al Musrati,772424694,Stub
Libya,6.5,Mohammed Magariaf,775296202,C
Libya,6.5,Isa Tuwaijir,778066680,Stub
Libya,6.5,Nagia Essayed,779744403,Stub
Libya,6.5,Imbarek Shamekh,781303411,Start
Libya,6.5,Ashour Suleiman Shuwail,781776934,Start
Libya,6.5,Sadiq Abdulkarim Abdulrahman,781898903,Start
Libya,6.5,Abdul Salam al-Buseiri,781990525,Stub
Libya,6.5,Umar Mustafa al-Muntasir,784805072,Stub
Libya,6.5,Yousef Mangoush,784971583,Stub
Libya,6.5,Hamdi Faraj Fanoush,785352141,Stub
Libya,6.5,Ahmad Bishti,785582155,Stub
Libya,6.5,Abu Bakr Baira,785889190,Start
Libya,6.5,Abdel Wahab Qaid,787386598,Start
Libya,6.5,Abdul Rahman Habil,787400698,Stub
Libya,6.5,Abdul Rahman Kamudi,787400763,Stub
Libya,6.5,El Waer Hakim,787658532,Start
Libya,6.5,Abdussalam Sergiwa,787914218,Stub
Libya,6.5,Abdulbari Al Arusi,788267111,Start
Libya,6.5,Ali Ashour,788275167,Stub
Libya,6.5,Hamza Abu Faris,788399266,Start
Libya,6.5,Abdullah Naker,788419128,Stub
Libya,6.5,Ali Abd-al-Aziz al-Isawi,788467016,Start
Libya,6.5,Mohamed Abu al-Qasim al-Zwai,788474662,Stub
Libya,6.5,Mustafa Rugibani,788478147,Stub
Libya,6.5,Omar al-Hassi,788491832,Start
Libya,6.5,Fariha al-Berkawi,788591692,Start
Libya,6.5,Usama Siala,788701001,Start
Libya,6.5,Ahmed Rafiq Almhadoui,789271261,Stub
Libya,6.5,Anwar Fituri,789508170,Stub
Libya,6.5,Mohamed Ben Ghalbon,794211790,C
Libya,6.5,Abdullah Senussi,794233552,C
Libya,6.5,Mustafa Abdul Jalil,794505172,C
Libya,6.5,Yousaf Borahil Al-Msmare,795842463,Stub
Libya,6.5,Ehtuish Ehtuish,795937810,Start
Libya,6.5,Ahmed Al-Abbar,796185715,Stub
Libya,6.5,Ashour Bourashed,796614256,Stub
Libya,6.5,Mohammed el-Hadhiri,796696444,Stub
Libya,6.5,Mustafa Tajouri,796703955,Stub
Libya,6.5,Abdurrahim El-Keib,796886195,C
Libya,6.5,Muhammad az-Zanati,796890077,Stub
Libya,6.5,Awad al-Baraasi,797020109,Stub
Libya,6.5,Abdullah Al-Mayhoub,797668780,Stub
Libya,6.5,Mansour Mohamed El-Kikhia,798048206,Stub
Libya,6.5,Ihab Al-Mismari,798288804,Stub
Libya,6.5,Mohamed Taha Siala,798910928,Start
Libya,6.5,Wahbi al-Bouri,798997387,Start
Libya,6.5,Abuzed Omar Dorda,798997736,Stub
Libya,6.5,Omar El-Hariri,799342493,Start
Libya,6.5,Wanis al-Qaddafi,799386887,Stub
Libya,6.5,Hasan Zaglam,799496543,Stub
Libya,6.5,Abdullah al-Thani,799690270,Start
Libya,6.5,Nouri Abusahmain,799690657,Start
Libya,6.5,Abdul Majid Kubar,799802326,Stub
Libya,6.5,Aguila Saleh Issa,799804694,Stub
Libya,6.5,Musa Al-Koni,800291959,Stub
Libya,6.5,Abdul Hafiz Ghoga,801364319,Start
Libya,6.5,Ahmed al-Senussi,801367306,Start
Libya,6.5,Abdul Ati al-Obeidi,802350946,Start
Libya,6.5,Muhammad az-Zaruq Rajab,802355738,Stub
Libya,6.5,Abd-Rabbo al-Barassi,802722672,Stub
Libya,6.5,Izzat Yousef Al-Maqrif,802723671,Start
Libya,6.5,Fathi Baja,802832934,Start
Libya,6.5,Fatima Hamroush,802835977,C
Libya,6.5,Sulayman al-Baruni,803170419,Start
Libya,6.5,Uthman Megrahi,803371432,Stub
Libya,6.5,Aref Ali Nayed,803870165,C
Libya,6.5,Mohammed El Senussi,804066562,GA
Libya,6.5,Abdulrahman Sewehli,804967905,Stub
Libya,6.5,List of heads of state of Libya,805431705,Start
Libya,6.5,Giuma Ahmed Atigha,805855991,Stub
Libya,6.5,Ahmed Maiteeq,805938059,C
Libya,6.5,Muhammad Osman Said,805967469,Stub
Libya,6.5,Idris of Libya,806317468,C
Libya,6.5,Khalifa al-Ghawil,806474260,Start
Libya,6.5,Muhammad Gaddafi,806757059,Start
Libya,6.5,Omar Mukhtar,806757064,C
Libya,6.5,Saif al-Islam Gaddafi,806757068,GA
Libya,6.5,Muammar Gaddafi,806757078,FA
Libya,6.5,Mahmud Sulayman al-Maghribi,807157696,Stub
Morocco,35.2,Taieb Ghafes,669266906,Stub
Morocco,35.2,Larbi Messari,678532348,Stub
Morocco,35.2,Omar Benjelloun,697280332,Stub
Morocco,35.2,Mohammad Temim,699136209,Stub
Morocco,35.2,Template:Morocco-politician-stub,704039243,Stub
Morocco,35.2,Bouchaib Benlabsir,705653632,Stub
Morocco,35.2,Fathallah Oualalou,709406390,Stub
Morocco,35.2,Omar El Bahraoui,713858784,Stub
Morocco,35.2,Mustapha Oukacha,715653724,Stub
Morocco,35.2,Mohammed Kabbaj,716693543,Stub
Morocco,35.2,Khnata bent Bakkar,717710707,Stub
Morocco,35.2,Abdellatif Zeroual,719325721,Start
Morocco,35.2,List of administrators of the Tangier International Zone,719472399,Start
Morocco,35.2,Nouzha Skalli,720741950,Start
Morocco,35.2,Nabil Benabdallah,721414558,Stub
Morocco,35.2,Mohamed Najib Boulif,721422529,Stub
Morocco,35.2,Amina Benkhadra,721440247,Stub
Morocco,35.2,Mohamed El Ouafa,721838764,Stub
Morocco,35.2,Fouad Douiri,721849503,Start
Morocco,35.2,Idriss Azami Al Idrissi,721924181,Stub
Morocco,35.2,Mohamed Saad Alami,722084772,Stub
Morocco,35.2,Khalid Naciri,722148469,Stub
Morocco,35.2,Yasmina Baddou,722156134,Start
Morocco,35.2,Jamal Aghmani,722178408,Stub
Morocco,35.2,Mohamed Boussaid,722179858,Stub
Morocco,35.2,Touriya Jabrane,722184866,Stub
Morocco,35.2,Saad Hassar,722193761,Stub
Morocco,35.2,Latifa Labida,722201957,Stub
Morocco,35.2,Ahmed Ameziane,722203464,Stub
